n_estimators,max_depth,min_samples_split,min_samples_leaf,RMSE,MAE,R2 Score
50,,2,1,22.132638889584033,9.833612370409307,0.8497246856480023
50,,2,2,22.134129862316026,9.834169128349204,0.8497044382709114
50,,2,4,22.137587998890318,9.835705802891026,0.84965747160149
50,,7,1,22.133176205086084,9.83406566549002,0.8497173890724328
50,,7,2,22.134613093171488,9.8344065526455,0.8496978757138001
50,,7,4,22.137587998890318,9.835705802891026,0.84965747160149
50,,10,1,22.133327539978485,9.834155701425118,0.849715333960207
50,,10,2,22.13479458792957,9.83444156082784,0.8496954108720239
50,,10,4,22.137588705921644,9.835695170734672,0.8496574619981964
50,20.0,2,1,22.132638889584033,9.833612370409307,0.8497246856480023
50,20.0,2,2,22.134129862316023,9.834169128349204,0.8497044382709114
50,20.0,2,4,22.137587998890318,9.835705802891024,0.84965747160149
50,20.0,7,1,22.133176205086084,9.83406566549002,0.8497173890724328
50,20.0,7,2,22.134613093171488,9.8344065526455,0.8496978757138001
50,20.0,7,4,22.137587998890318,9.835705802891024,0.84965747160149
50,20.0,10,1,22.133327539978485,9.834155701425118,0.849715333960207
50,20.0,10,2,22.13479458792957,9.83444156082784,0.8496954108720239
50,20.0,10,4,22.137588705921644,9.835695170734672,0.8496574619981964
50,40.0,2,1,22.132638889584033,9.833612370409307,0.8497246856480023
50,40.0,2,2,22.134129862316026,9.834169128349204,0.8497044382709114
50,40.0,2,4,22.137587998890318,9.835705802891026,0.84965747160149
50,40.0,7,1,22.133176205086084,9.83406566549002,0.8497173890724328
50,40.0,7,2,22.134613093171488,9.8344065526455,0.8496978757138001
50,40.0,7,4,22.137587998890318,9.835705802891026,0.84965747160149
50,40.0,10,1,22.133327539978485,9.834155701425118,0.849715333960207
50,40.0,10,2,22.13479458792957,9.83444156082784,0.8496954108720239
50,40.0,10,4,22.137588705921644,9.835695170734672,0.8496574619981964
50,50.0,2,1,22.132638889584033,9.833612370409307,0.8497246856480023
50,50.0,2,2,22.134129862316026,9.834169128349204,0.8497044382709114
50,50.0,2,4,22.137587998890318,9.835705802891026,0.84965747160149
50,50.0,7,1,22.133176205086084,9.83406566549002,0.8497173890724328
50,50.0,7,2,22.134613093171488,9.8344065526455,0.8496978757138001
50,50.0,7,4,22.137587998890318,9.835705802891026,0.84965747160149
50,50.0,10,1,22.133327539978485,9.834155701425118,0.849715333960207
50,50.0,10,2,22.13479458792957,9.83444156082784,0.8496954108720239
50,50.0,10,4,22.137588705921644,9.835695170734672,0.8496574619981964
100,,2,1,22.132351985716774,9.837740035422732,0.8497285816397646
100,,2,2,22.13392913294178,9.8382802573169,0.8497071642508752
100,,2,4,22.137275950329155,9.839854750731316,0.8496617099890706
100,,7,1,22.13301775052617,9.838292234645621,0.84971954085395
100,,7,2,22.134606421313755,9.838618220167515,0.8496979663224983
100,,7,4,22.137275950329155,9.839854750731316,0.8496617099890706
100,,10,1,22.133181334092455,9.838386945973754,0.8497173194212855
100,,10,2,22.13478731880651,9.838671393898535,0.8496955095928294
100,,10,4,22.137282953009784,9.839856925057827,0.8496616148760856
100,20.0,2,1,22.132351985716774,9.837740035422732,0.8497285816397646
100,20.0,2,2,22.13392913294178,9.8382802573169,0.8497071642508752
100,20.0,2,4,22.137275950329155,9.839854750731314,0.8496617099890706
100,20.0,7,1,22.133021037422647,9.83829657972678,0.8497194962187038
100,20.0,7,2,22.134606421313755,9.838618220167515,0.8496979663224983
100,20.0,7,4,22.137275950329155,9.839854750731314,0.8496617099890706
100,20.0,10,1,22.133181334092455,9.838386945973754,0.8497173194212855
100,20.0,10,2,22.13478731880651,9.838671393898535,0.8496955095928294
100,20.0,10,4,22.137282953009784,9.839856925057827,0.8496616148760856
100,40.0,2,1,22.132351985716774,9.837740035422732,0.8497285816397646
100,40.0,2,2,22.13392913294178,9.8382802573169,0.8497071642508752
100,40.0,2,4,22.137275950329155,9.839854750731316,0.8496617099890706
100,40.0,7,1,22.13301775052617,9.838292234645621,0.84971954085395
100,40.0,7,2,22.134606421313755,9.838618220167515,0.8496979663224983
